trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
409,FALSE,"{'a': 0.1, 'e': 0.02994772924490189}",25,14,18.59634802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 0}",20,13,14.55359061,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",20,0,26.39097688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 0}",20,10,15.58832891,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0, 'e': 0}",30,0,50.95195215,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 0}",35,0,49.33096387,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,TRUE,"{'a': 0, 'e': 0}",20,2,34.2331179,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",30,17,22.21823831,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 0}",20,9,18.94731715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",25,9,27.00195501,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 0}",20,0,28.60978495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,TRUE,"{'a': 0, 'e': 0}",25,17,-7.795380498,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,TRUE,"{'a': 0, 'e': 0}",20,13,14.29001448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,TRUE,"{'a': 0, 'e': 0}",20,6,27.05114311,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,TRUE,"{'a': 0, 'e': 0}",20,0,31.15056983,"{0: 2, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,TRUE,"{'a': 0, 'e': 0}",20,16,6.269345917,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,TRUE,"{'a': 0, 'e': 0}",20,12,12.62368902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,TRUE,"{'a': 0, 'e': 0}",20,10,15.1360953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,TRUE,"{'a': 0, 'e': 0}",25,17,14.10199054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,TRUE,"{'a': 0, 'e': 0}",35,16,31.40743686,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,TRUE,"{'a': 0, 'e': 0}",20,9,21.75509466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
